Longitude,Latitude,Name,,,,,,,,,,,,,,,
-77.0658,38.8781167,Lebanon Cedar Living Memorial Arlington,,,,,,,,,,,,,,,
-77.34350778,38.54406317,"Quantico NMMC Exhibits (Timeline, Global Response, Wars on Terrorism)",,,,,,,,,,,,,,,
-82.11358956,26.97196869,Port Charlotte Memorial Tower,,,,,,,,,,,,,,,
35.59772586,33.93462579,US Embassy at Beruit (2017),,,,,,,,,,,,,,,
-77.41444068,34.74763723,Jacksonville NC Beruit Memorial,,,,,,,,,,,,,,,
-77.45683435,34.74293401,Beruit Memorial Grove,,,,,,,,,,,,,,,
-77.45801489,34.7347701,Camp Geiger Memorial (1984),,,,,,,,,,,,,,,
-71.05102955,42.3619428,Massachusetts Beirut Memorial (1992),,,,,,,,,,,,,,,
-97.7360031,30.2737382,Austin Marine Corps Beirut Memorial,,,,,,,,,,,,,,,
-75.14265981,39.9448823,Beruit Memorial - Philadelphia,,,,,,,,,,,,,,,
-71.4908587,42.76193437,Soifert Memorial Fields,,,,,,,,,,,,,,,
-87.70977755,42.07465289,SGT John Phillips Flag Pole,,,,,,,,,,,,,,,
-87.81387447,42.09164311,Glenview Memorial - Naval Air Station Plaque,,,,,,,,,,,,,,,
-81.41030657,41.68783398,Cpl. David Daugherty Park,,,,,,,,,,,,,,,
-73.85545593,40.74367848,William F. Moore Park,,,,,,,,,,,,,,,John Rice Hudson Clinic
-92.01446768,30.180476,Lance Corporal Lex D. Trahan Memorial,,,,,,,,,,,,,,,Osceola Memorial
-88.71163658,41.32481825,Middle East Conflicts Wall Memorial,,,,,,,,,,,,,,,Ellington Memorial (Baseball Field)
-80.76905085,28.38350723,Plymel Hill Memorial,,,,,,,,,,,,,,,vfw post 9582
-74.97965123,39.9599399,Jeff Young Memorial Park,,,,,,,,,,,,,,,
-71.40767503,41.82300489,Rhode Island Nine Memorial,,,,,,,,,,,,,,,
-81.07559189,37.36719866,"Princeton, WV Memorial",,,,,,,,,,,,,,,
-79.84327157,38.92297716,Lest We Forget That Peace Has a Price,,,,,,,,,,,,,,,
-87.04266225,41.60654408,Beirut Memorial Monument to honor Indiana Servicemen killed - Chesterton Memorial,,,,,,,,,,,,,,,
-70.93005415,42.48066751,LCPL Bradley Campus Monument,,,,,,,,,,,,,,,
-81.65220853,30.36596238,Beruit Memorial in Jacksonville FL,,,,,,,,,,,,,,,
-80.81318101,35.58250445,McNeely Family Monument,,,,,,,,,,,,,,,
-73.56386189,41.27442276,CPL James J. Jackowski,,,,,,,,,,,,,,,
-80.5974793,41.03939653,Peace Keepers Memorial,,,,,,,,,,,,,,,
-74.91486883,40.17108759,Lance Corporal John F. Muffler Memorial Bridge,,,,,,,,,,,,,,,
-85.08508719,32.77587862,Cpl. Mark Prevatt Waterfowl Managment Area,,,,,,,,,,,,,,,
-71.462,42.9886,Veteran's Memorial Park,,,,,,,,,,,,,,,
-76.62132693,39.45628778,Memorial to All Marylanders who lost lives to Terrorists,,,,,,,,,,,,,,,
-86.97133505,34.8026049,Limestone County Beirut Memorial,,,,,,,,,,,,,,,
-119.6910779,34.41099875,Santa Barbara Veterans' Memorial Building,,,,,,,,,,,,,,,
-120.6695196,35.46808111,Faces of Freedom Veterans Memorial,,,,,,,,,,,,,,,
-89.50294626,41.84789278,Beruit Memorial in Dixon Illinois,,,,,,,,,,,,,,,
-79.0518237,37.58528664,Beirut-Lebanon Memorial to Michael D. Fulcher,,,,,,,,,,,,,,,
-73.44331945,41.38601028,They Came in Peace,,,,,,,,,,,,,,,
-82.42062563,29.61740975,Patrick K. Prindeville and Tomorio D. Burkett Memorial Flagpole,,,,,,,,,,,,,,,
-71.91152459,41.91884729,Putnam CT Beirut Memorial,,,,,,,,,,,,,,,
-75.6281712,38.64553096,Seaford Veterans Memorial,,,,,,,,,,,,,,,
-71.31701793,41.48912633,Semper Fidelis - Rhode Island Marine Memorial,,,,,,,,,,,,,,,
-72.71449721,41.56779141,Thomas G. Smith Memorial Park,,,,,,,,,,,,,,,
-71.25570591,41.55831157,Portsmouth Garden Club Beirut Memorial,,,,,,,,,,,,,,,
-84.99680828,32.46442524,Military Service Walk,,,,,,,,,,,,,,,
-73.232,41.725,Bantam CT Memorial,,,,,,,,,,,,,,,
-80.1869,25.773,Miami Memorial,,,,,,,,,,,,,,,
-81.0113,29.2111,Beirut Barracks Bombing Tom Staed Veterans Memorial Bridge,,,,,,,,,,,,,,,
-117.9769,33.7155,Lebanese Civil War Memorial,,,,,,,,,,,,,,,
-72.4643,41.9105,Ellington Memorial (Baseball Field),,,,,,,,,,,,,,,
-89.9701,35.7024,Arkansas Beirut Monument,,,,,,,,,,,,,,,
-84.1983,39.8498,American Legion Post #668,,,,,,,,,,,,,,,
